ISBN;Titulo;Data de Lancamento;Autor;Editora;Idioma;Estante;Estado; Valor de Venda ;Estoque;Valor de compra;Data de cadastro de entrada;Data de Cadastro Plataforma;Vendido?
9780141359373;Hold Me Closer: The Tiny Cooper Story Capa comum;17/03/2015; David Levithan;Penguin Books Ltd;Inglês;Sessão Inglês;Usado; R$ 50,00 ;1; R$ 16,67 ;31/10/2025;03/11/2025;
9788578602345;Livro de Ouro da Liderança Capa comum;06/04/2015;John C. Maxwell ;Thomas Nelson;Português;Emprrendedorismo;Usado; R$ 25,00 ;1; R$ 8,33 ;31/10/2025;03/11/2025;
9788580445169;O Pequeno Príncipe e o Astronomo Capa dura;01/07/2013;Antoine de Saint-Exupéry;LeYa;Português;Sessão Infantil;Usado; R$ 20,00 ;1; R$ 6,67 ;31/10/2025;03/11/2025;
9786555600254;Malorie: Sequência de caixa de pássaros: 2 Capa comum ;21/07/2020;Josh Malerman;Intrínseca;Português;Letra do autor;Usado; R$ 25,00 ;1; R$ 8,33 ;31/10/2025;03/11/2025;
9786555653502;Nós somos inevitáveis: Algumas histórias de amor estão destinadas a acontecer  Capa comum;09/08/2022;Gayle Forman;Arqueiro;Português;Letra do autor;Usado; R$ 25,00 ;1; R$ 8,33 ;31/10/2025;03/11/2025;
9788550702056;As Garotas Spring Capa comum;05/05/2018;Anna Todd ;VR Editora;Português;Letra do autor;Usado; R$ 30,00 ;1; R$ 10,00 ;31/10/2025;03/11/2025;
9788562409998;Fuck love: Louco Amor Capa comum;01/01/2017;Tarryn Fisher;Faro Editorial;Português;Letra do autor;Usado; R$ 20,00 ;1; R$ 6,67 ;31/10/2025;03/11/2025;
9788565859363;Proibido Capa comum;01/01/2015;Tabitha Suzuma ;Valentina;Português;Letra do autor;Usado; R$ 35,00 ;1; R$ 11,67 ;31/10/2025;03/11/2025;
9788535919974;Reparação Capa comum;29/11/2011;Ian McEwan ;Edição Econômica;Português;Letra do autor;Usado; R$ 25,00 ;1; R$ 8,33 ;31/10/2025;03/11/2025;
9788535907728;Coração de tinta: 1 Capa comum ;10/02/2006;Cornelia Funke;Seguinte;Português;Letra do autor;Usado; R$ 30,00 ;1; R$ 10,00 ;31/10/2025;03/11/2025;
